Sexo;Duración del contrato o relación laboral;Edad;Periodo;Total
Ambos sexos;3 años o más;Total;2021T4;123,3
Ambos sexos;3 años o más;Total;2021T3;131,9
Ambos sexos;3 años o más;Total;2021T2;132,9
Ambos sexos;3 años o más;Total;2021T1;125,8
Ambos sexos;3 años o más;Total;2020T4;145,4
Ambos sexos;3 años o más;Total;2020T3;149,8
Ambos sexos;3 años o más;Total;2020T2;144
Ambos sexos;3 años o más;Total;2020T1;156,5
Ambos sexos;3 años o más;Total;2019T4;161,9
Ambos sexos;3 años o más;Total;2019T3;153,2
Ambos sexos;3 años o más;Total;2019T2;148,3
Ambos sexos;3 años o más;Total;2019T1;165,4
Ambos sexos;3 años o más;Total;2018T4;171,6
Ambos sexos;3 años o más;Total;2018T3;183,7
Ambos sexos;3 años o más;Total;2018T2;212
Ambos sexos;3 años o más;Total;2018T1;209,4
Ambos sexos;3 años o más;Total;2017T4;189
Ambos sexos;3 años o más;Total;2017T3;200,2
Ambos sexos;3 años o más;Total;2017T2;186,6
Ambos sexos;3 años o más;Total;2017T1;186,3
Ambos sexos;3 años o más;Total;2016T4;191,8
Ambos sexos;3 años o más;Total;2016T3;190,5
Ambos sexos;3 años o más;Total;2016T2;188,1
Ambos sexos;3 años o más;Total;2016T1;190,4
Ambos sexos;3 años o más;De 16 a 19 años;2021T4;0,3
Ambos sexos;3 años o más;De 16 a 19 años;2021T3;1,3
Ambos sexos;3 años o más;De 16 a 19 años;2021T2;0,3
Ambos sexos;3 años o más;De 16 a 19 años;2021T1;1,6
Ambos sexos;3 años o más;De 16 a 19 años;2020T4;0,9
Ambos sexos;3 años o más;De 16 a 19 años;2020T3;0
Ambos sexos;3 años o más;De 16 a 19 años;2020T2;1,1
Ambos sexos;3 años o más;De 16 a 19 años;2020T1;4,1
Ambos sexos;3 años o más;De 16 a 19 años;2019T4;2,4
Ambos sexos;3 años o más;De 16 a 19 años;2019T3;2
Ambos sexos;3 años o más;De 16 a 19 años;2019T2;0,9
Ambos sexos;3 años o más;De 16 a 19 años;2019T1;1,2
Ambos sexos;3 años o más;De 16 a 19 años;2018T4;1
Ambos sexos;3 años o más;De 16 a 19 años;2018T3;1,5
Ambos sexos;3 años o más;De 16 a 19 años;2018T2;0,5
Ambos sexos;3 años o más;De 16 a 19 años;2018T1;0,7
Ambos sexos;3 años o más;De 16 a 19 años;2017T4;1,9
Ambos sexos;3 años o más;De 16 a 19 años;2017T3;2,1
Ambos sexos;3 años o más;De 16 a 19 años;2017T2;1,3
Ambos sexos;3 años o más;De 16 a 19 años;2017T1;0,7
Ambos sexos;3 años o más;De 16 a 19 años;2016T4;3,1
Ambos sexos;3 años o más;De 16 a 19 años;2016T3;1,6
Ambos sexos;3 años o más;De 16 a 19 años;2016T2;1,6
Ambos sexos;3 años o más;De 16 a 19 años;2016T1;2,1
Ambos sexos;3 años o más;De 20 a 24 años;2021T4;8,1
Ambos sexos;3 años o más;De 20 a 24 años;2021T3;8,2
Ambos sexos;3 años o más;De 20 a 24 años;2021T2;6,9
Ambos sexos;3 años o más;De 20 a 24 años;2021T1;3,4
Ambos sexos;3 años o más;De 20 a 24 años;2020T4;6,6
Ambos sexos;3 años o más;De 20 a 24 años;2020T3;5,9
Ambos sexos;3 años o más;De 20 a 24 años;2020T2;5,6
Ambos sexos;3 años o más;De 20 a 24 años;2020T1;9,4
Ambos sexos;3 años o más;De 20 a 24 años;2019T4;10,1
Ambos sexos;3 años o más;De 20 a 24 años;2019T3;9,3
Ambos sexos;3 años o más;De 20 a 24 años;2019T2;10,8
Ambos sexos;3 años o más;De 20 a 24 años;2019T1;9,7
Ambos sexos;3 años o más;De 20 a 24 años;2018T4;11,2
Ambos sexos;3 años o más;De 20 a 24 años;2018T3;8,9
Ambos sexos;3 años o más;De 20 a 24 años;2018T2;16,5
Ambos sexos;3 años o más;De 20 a 24 años;2018T1;13,9
Ambos sexos;3 años o más;De 20 a 24 años;2017T4;13,4
Ambos sexos;3 años o más;De 20 a 24 años;2017T3;17,3
Ambos sexos;3 años o más;De 20 a 24 años;2017T2;15,5
Ambos sexos;3 años o más;De 20 a 24 años;2017T1;16,5
Ambos sexos;3 años o más;De 20 a 24 años;2016T4;12,6
Ambos sexos;3 años o más;De 20 a 24 años;2016T3;11,7
Ambos sexos;3 años o más;De 20 a 24 años;2016T2;13,1
Ambos sexos;3 años o más;De 20 a 24 años;2016T1;13,6
Ambos sexos;3 años o más;De 25 a 29 años;2021T4;33,3
Ambos sexos;3 años o más;De 25 a 29 años;2021T3;41
Ambos sexos;3 años o más;De 25 a 29 años;2021T2;38,1
Ambos sexos;3 años o más;De 25 a 29 años;2021T1;31,7
Ambos sexos;3 años o más;De 25 a 29 años;2020T4;35,4
Ambos sexos;3 años o más;De 25 a 29 años;2020T3;31,4
Ambos sexos;3 años o más;De 25 a 29 años;2020T2;34,5
Ambos sexos;3 años o más;De 25 a 29 años;2020T1;37
Ambos sexos;3 años o más;De 25 a 29 años;2019T4;37,3
Ambos sexos;3 años o más;De 25 a 29 años;2019T3;35
Ambos sexos;3 años o más;De 25 a 29 años;2019T2;33,5
Ambos sexos;3 años o más;De 25 a 29 años;2019T1;38,5
